/Users/songcao/workdir/FM_project/src/composefm/ihcfm_hierarchy.py:933: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/miniforge3/conda-bld/libtorch_1786372171327/work/torch/csrc/autograd/generated/python_variable_methods.cpp:823.)
  hist.append(float(loss))
  800 ihcfm_main_only  (0, 1)     s0 nED 0.3022 (27s)
  800 ihcfm_main_only  (0, 1)     s1 nED 0.4691 (23s)
  800 ihcfm_main_only  (0, 2)     s0 nED 0.3544 (23s)
  800 ihcfm_main_only  (0, 2)     s1 nED 0.4910 (23s)
  800 ihcfm_main_only  (0, 3)     s0 nED 0.9431 (23s)
  800 ihcfm_main_only  (0, 3)     s1 nED 0.9708 (23s)
  800 ihcfm_main_only  (0, 4)     s0 nED 1.0016 (23s)
  800 ihcfm_main_only  (0, 4)     s1 nED 1.0078 (23s)
  800 ihcfm_full       (0, 1)     s0 nED 0.3281 (25s)
  800 ihcfm_full       (0, 1)     s1 nED 0.4810 (26s)
  800 ihcfm_full       (0, 2)     s0 nED 0.3555 (25s)
  800 ihcfm_full       (0, 2)     s1 nED 0.5810 (25s)
  800 ihcfm_full       (0, 3)     s0 nED 0.8802 (26s)
